Air temperature (C),Relative humidity (%),Air velocity (m/s),Radiant temperature (C),Clo,Met,Thermal comfort
23.0,36.4,0.14,19.7,0.65,1.1,2.0
25.9,43.9,0.34,26.6,0.71,1.1,2.0
21.3,50.0,0.11,19.3,0.7,1.1,2.0
22.3,42.0,0.17,22.6,0.71,1.26,6.0
22.9,38.1,0.16,23.4,0.54,1.0,4
22.1,42.8,0.1,22.0,0.39,1.6,4
19.7,40.5,0.05,21.0,1.14,0.9,5.0
23.0,52.0,0.14,23.4,0.38,1.54,3
27.6,50.0,0.15,26.4,0.67,1.1,2.0
30.2,30.7,0.71,28.4,0.6,1.1,2.0
23.5,27.3,0.06,24.1,0.45,1.0,6
23.6,40.0,0.07,23.1,0.3,1.2,4.0
22.7,31.6,0.6,23.5,0.49,1.69,5
24.1,46.8,0.08,24.2,0.36,1.0,5
22.7,60.4,0.04,22.9,0.76,1.2,6.0
29.9,69.2,0.45,27.8,0.67,1.1,2.0
22.0,31.9,0.06,22.2,0.66,1.4,3
24.3,62.2,0.09,24.6,0.62,1.0,5
23.8,37.9,0.11,24.2,0.46,1.0,4
29.2,50.4,0.13,29.5,0.34,1.2,3.0
14.4,40.3,0.07,14.9,1.29,1.2,2.0
26.4,52.0,0.26,23.2,0.6,1.1,2.0
23.2,70.0,0.14,24.1,0.48,1.0,5.0
21.1,29.3,0.25,22.2,0.3,1.2,3.0
23.9,33.4,0.11,24.3,0.44,1.0,5
21.9,36.7,0.04,22.6,0.64,1.6,5.0
23.2,61.8,0.11,22.0,0.46,1.1,2.0
21.8,45.5,0.03,22.5,1.18,1.0,6
23.2,42.5,0.07,23.3,0.62,1.0,3.0
28.7,51.3,0.01,29.3,0.5,1.2,3.0
23.4,39.3,0.09,23.5,0.62,1.0,4
22.4,53.9,0.05,22.8,0.54,1.2,3
22.8,50.6,0.07,23.1,0.66,1.0,3
22.3,45.2,0.17,22.7,0.39,1.4,5
27.6,38.5,0.31,28.0,0.63,1.0,1.0
21.7,46.4,0.2,21.9,0.87,1.03,2
23.8,48.2,0.07,23.8,0.54,1.2,4
25.2,74.5,0.13,26.3,0.29,1.2,5.0
29.3,65.6,0.46,32.5,0.4,1.2,3.0
22.3,44.0,0.05,22.4,1.02,1.0,5
25.5,51.0,0.12,26.1,0.36,1.19,4
21.2,61.6,0.15,19.6,0.93,1.1,2.0
23.5,21.6,0.09,23.7,0.8,1.0,5.0
24.5,63.0,0.1,24.8,0.45,1.47,4
25.4,52.8,0.2,26.1,0.45,1.9,2.0
20.9,46.1,0.2,21.8,0.83,1.55,5
21.7,62.8,0.35,24.5,0.53,1.2,5.0
25.8,40.7,0.45,26.3,0.71,1.2,2.0
18.9,59.5,0.0,19.4,1.01,1.6,3.0
22.5,24.4,0.1,20.3,0.93,1.1,2.0
24.1,33.0,0.23,24.2,0.34,1.1,5
25.3,59.0,0.11,25.6,0.3,1.29,6
21.7,31.5,0.04,22.0,0.45,1.2,5
18.9,59.2,0.0,19.5,0.55,1.6,5.0
22.7,41.6,0.06,22.9,0.49,1.0,6.0
24.0,41.0,0.05,24.1,0.83,1.41,2.0
27.9,45.6,0.45,28.3,0.31,1.2,5.0
24.6,12.3,0.08,23.8,1.2,1.2,5.0
28.6,73.4,0.5,29.3,0.64,1.2,5.0
23.6,32.2,0.19,24.0,0.61,1.55,5
25.8,48.4,0.36,26.3,0.67,1.2,2.0
25.1,43.6,0.18,25.8,0.46,1.1,2.0
27.1,42.3,0.15,27.2,0.67,1.1,2.0
26.8,45.6,0.2,24.5,0.64,1.2,1.0
23.7,54.0,0.12,23.8,0.66,1.24,5
21.3,35.5,0.06,21.3,0.62,1.0,1
20.9,22.4,0.08,19.2,1.32,1.1,2.0
27.1,39.0,0.24,27.3,0.48,1.2,3.0
26.7,78.0,0.0,27.4,0.22,1.6,3.0
29.4,73.7,0.53,31.2,0.1,1.2,2.0
24.2,40.0,0.14,24.1,0.37,1.37,5
28.7,55.4,0.6,30.4,0.49,1.2,5.0
26.1,41.7,0.52,24.2,0.94,1.1,2.0
24.6,38.1,0.28,22.2,1.02,1.1,5.0
22.4,59.9,0.04,22.4,0.48,1.0,4.0
26.0,45.3,0.06,25.5,0.5,1.0,3.0
22.5,58.5,0.07,22.8,0.59,1.2,6.0
29.7,75.7,0.35,30.2,0.24,1.2,5.0
18.9,59.5,0.0,19.4,0.59,1.2,5.0
22.4,55.2,0.17,23.5,0.69,1.0,5.0
26.2,47.8,0.16,28.3,0.57,1.0,2.0
22.8,23.7,0.06,23.0,0.36,1.2,5
28.7,63.2,0.42,30.0,0.47,1.2,3.0
24.0,27.3,0.06,24.2,0.6,1.0,6
22.3,34.7,0.29,20.7,1.0,1.1,2.0
21.8,48.0,0.1,22.0,0.72,1.14,5
25.6,65.7,0.14,24.5,0.67,1.1,2.0
26.1,58.2,0.14,25.2,0.67,1.1,2.0
24.1,49.0,0.1,24.4,0.36,1.19,5
25.3,39.8,0.34,22.5,0.67,1.2,2.0
23.0,27.5,0.01,23.0,0.54,1.0,3
22.2,50.3,0.08,22.0,0.47,1.0,6
22.5,12.1,0.08,21.6,1.0,1.1,4.0
31.1,56.2,0.62,31.9,0.26,1.2,5.0
27.9,45.7,0.41,28.2,0.4,1.6,5.0
24.4,42.2,0.05,24.6,0.62,1.0,4
21.7,28.1,0.06,21.8,0.95,1.0,6
24.3,47.1,0.07,23.2,0.3,1.1,6.0
24.7,54.7,0.09,24.7,0.73,1.2,5.0
27.5,49.6,0.51,28.2,0.31,1.6,5.0
23.3,29.2,0.07,23.5,0.59,1.0,5
23.6,63.0,0.1,23.9,0.63,1.34,5
20.6,31.7,0.01,20.8,0.5,1.2,5
28.9,50.9,0.08,29.3,0.92,1.2,3.0
27.0,47.4,0.24,24.9,0.55,1.1,2.0
30.9,26.6,0.39,27.5,0.6,1.1,2.0
